-43;-44;-45;-45;-43;-42;-41;-40;-40;-41;-44;-49;-56;-45;-40;-38;-37;-37;-37;-37;-38;-38;-39;-40;-41;-42
-41;-41;-41;-40;-39;-38;-37;-36;-36;-37;-39;-43;-58;-45;-39;-36;-35;-35;-35;-35;-36;-37;-38;-38;-40;-41
-39;-39;-39;-38;-37;-36;-36;-35;-35;-36;-38;-43;-58;-40;-36;-33;-33;-32;-33;-33;-34;-35;-36;-37;-38;-40
-38;-37;-37;-36;-35;-34;-34;-33;-33;-33;-35;-39;-56;-40;-34;-32;-31;-31;-31;-32;-33;-34;-35;-36;-37;-39
-37;-36;-36;-35;-34;-33;-33;-32;-32;-33;-34;-39;-65;-38;-33;-31;-30;-30;-30;-31;-32;-32;-34;-35;-36;-38
-36;-35;-34;-34;-33;-32;-31;-31;-30;-31;-32;-37;-55;-38;-32;-30;-29;-29;-29;-30;-30;-31;-32;-34;-35;-37
-35;-34;-34;-33;-32;-31;-31;-30;-30;-30;-32;-37;-61;-36;-31;-29;-28;-28;-28;-29;-30;-31;-32;-33;-35;-36
-35;-34;-33;-32;-31;-30;-30;-29;-29;-30;-31;-36;-55;-37;-31;-29;-28;-28;-28;-28;-29;-30;-31;-32;-34;-36
-34;-33;-32;-31;-31;-30;-29;-29;-29;-30;-31;-36;-67;-36;-30;-28;-27;-27;-28;-28;-29;-30;-31;-32;-34;-35
-34;-33;-32;-31;-30;-30;-29;-29;-29;-29;-31;-35;-57;-36;-30;-28;-27;-27;-27;-28;-29;-29;-31;-32;-33;-35
-34;-33;-32;-31;-30;-29;-29;-28;-28;-29;-31;-36;-66;-35;-30;-28;-27;-27;-27;-28;-28;-29;-30;-32;-33;-35
-34;-32;-31;-31;-30;-29;-29;-28;-28;-29;-31;-36;-62;-36;-30;-28;-27;-27;-27;-28;-28;-29;-30;-32;-33;-35
-34;-32;-31;-31;-30;-29;-29;-28;-28;-29;-31;-36;-64;-35;-30;-28;-27;-27;-27;-28;-28;-29;-30;-32;-33;-35
-33;-32;-31;-31;-30;-29;-29;-28;-28;-29;-31;-36;-68;-36;-30;-28;-27;-27;-27;-28;-28;-29;-30;-32;-33;-35
-34;-33;-32;-31;-30;-29;-29;-28;-29;-29;-31;-36;-63;-35;-30;-28;-27;-27;-28;-28;-29;-30;-31;-32;-34;-35
-34;-33;-32;-31;-30;-30;-29;-29;-29;-29;-31;-36;-67;-36;-30;-28;-27;-27;-28;-28;-29;-30;-31;-32;-34;-36
-34;-33;-32;-32;-31;-30;-29;-29;-29;-30;-32;-36;-67;-36;-31;-29;-28;-28;-28;-29;-30;-31;-32;-33;-35;-36
-35;-34;-33;-32;-31;-31;-30;-30;-30;-30;-32;-37;-64;-37;-31;-29;-29;-28;-29;-29;-30;-31;-32;-33;-35;-37
-36;-35;-34;-33;-32;-31;-31;-30;-30;-31;-33;-37;-62;-38;-33;-31;-30;-30;-30;-30;-31;-32;-33;-34;-36;-37
-36;-35;-34;-33;-33;-32;-32;-31;-31;-32;-34;-38;-60;-39;-34;-32;-31;-31;-31;-31;-32;-33;-34;-35;-36;-38
-37;-36;-35;-35;-34;-33;-33;-33;-33;-33;-35;-39;-56;-42;-36;-34;-33;-32;-33;-33;-34;-34;-35;-36;-38;-39
-38;-37;-37;-36;-35;-35;-34;-34;-34;-35;-37;-42;-61;-43;-37;-35;-34;-34;-34;-34;-35;-35;-36;-37;-38;-40
-40;-39;-38;-37;-37;-36;-36;-36;-36;-37;-39;-43;-55;-48;-41;-38;-37;-36;-36;-36;-37;-37;-38;-39;-40;-41
-41;-40;-39;-39;-38;-38;-38;-38;-38;-40;-42;-46;-60;-49;-43;-40;-39;-38;-38;-38;-38;-38;-39;-40;-41;-42
-42;-42;-41;-41;-40;-40;-40;-40;-41;-42;-44;-48;-56;-56;-48;-44;-43;-41;-41;-41;-41;-41;-41;-42;-43;-44
-44;-43;-43;-42;-42;-42;-42;-42;-43;-44;-47;-51;-61;-55;-49;-46;-44;-43;-42;-42;-42;-42;-43;-43;-44;-45
