-49;-49;-49;-49;-50;-52;-55;-58;-60;-63;-65;-68;-71;-64;-70;-68;-68;-68;-68;-68;-67;-68;-67;-68;-67;-68
-50;-49;-49;-48;-49;-49;-51;-52;-54;-56;-59;-61;-65;-67;-70;-71;-70;-68;-69;-68;-68;-67;-68;-68;-68;-68
-51;-50;-49;-48;-48;-48;-49;-50;-52;-54;-56;-57;-60;-63;-65;-71;-71;-71;-69;-69;-68;-69;-69;-69;-69;-68
-52;-50;-49;-48;-48;-47;-48;-49;-50;-52;-54;-56;-59;-62;-65;-67;-70;-71;-70;-70;-69;-69;-69;-69;-69;-68
-52;-51;-50;-49;-48;-48;-48;-48;-50;-51;-53;-56;-58;-61;-63;-66;-69;-69;-72;-70;-70;-70;-70;-69;-69;-68
-53;-52;-51;-50;-49;-48;-48;-49;-50;-52;-53;-55;-58;-60;-63;-65;-68;-68;-70;-70;-71;-70;-70;-70;-68;-69
-55;-53;-52;-51;-50;-50;-50;-50;-51;-52;-54;-56;-58;-60;-63;-66;-67;-68;-68;-70;-70;-70;-69;-70;-70;-69
-56;-55;-53;-52;-51;-51;-51;-52;-52;-53;-55;-56;-59;-61;-63;-66;-66;-68;-68;-68;-70;-70;-69;-69;-69;-69
-58;-56;-55;-53;-53;-52;-52;-53;-54;-55;-56;-58;-60;-62;-64;-66;-66;-68;-68;-69;-68;-68;-69;-69;-69;-68
-59;-58;-56;-55;-54;-54;-54;-54;-55;-56;-57;-59;-61;-63;-64;-66;-66;-67;-67;-68;-68;-68;-68;-68;-69;-68
-61;-59;-57;-56;-55;-55;-55;-56;-56;-57;-59;-60;-61;-63;-65;-66;-66;-67;-66;-67;-67;-67;-66;-68;-67;-68
-63;-61;-59;-58;-57;-57;-57;-57;-58;-58;-59;-60;-62;-64;-65;-65;-66;-65;-65;-65;-65;-66;-66;-66;-67;-67
-65;-63;-61;-60;-59;-58;-59;-58;-59;-59;-61;-62;-64;-64;-66;-65;-64;-64;-64;-64;-64;-64;-65;-65;-66;-66
-66;-65;-63;-62;-61;-60;-60;-60;-60;-60;-61;-62;-63;-64;-65;-64;-63;-63;-62;-62;-62;-62;-63;-62;-64;-65
-65;-66;-65;-63;-62;-61;-60;-60;-60;-61;-61;-63;-63;-64;-63;-63;-62;-61;-60;-60;-61;-60;-61;-62;-62;-64
-64;-66;-67;-65;-64;-62;-61;-60;-60;-60;-60;-61;-62;-62;-62;-61;-60;-59;-58;-58;-58;-59;-60;-61;-61;-62
-62;-63;-65;-66;-64;-62;-61;-60;-59;-59;-59;-60;-60;-60;-60;-59;-58;-57;-57;-57;-57;-57;-58;-59;-60;-60
-60;-61;-63;-65;-65;-63;-61;-59;-58;-58;-57;-57;-58;-58;-57;-57;-56;-55;-55;-55;-55;-55;-56;-57;-58;-59
-59;-60;-61;-63;-65;-63;-60;-58;-57;-56;-56;-56;-56;-55;-55;-54;-54;-53;-53;-53;-53;-54;-55;-55;-57;-58
-58;-58;-59;-61;-63;-62;-60;-58;-56;-55;-54;-53;-53;-53;-53;-52;-52;-52;-52;-52;-52;-53;-53;-54;-55;-56
-57;-57;-58;-59;-61;-62;-60;-57;-56;-54;-53;-52;-51;-51;-51;-51;-51;-51;-51;-51;-51;-52;-53;-53;-54;-55
-56;-56;-56;-57;-60;-62;-61;-58;-56;-54;-52;-51;-51;-50;-50;-50;-50;-51;-51;-51;-51;-52;-53;-53;-54;-55
-53;-53;-55;-56;-55;-60;-62;-61;-58;-56;-54;-52;-51;-51;-51;-51;-51;-51;-52;-53;-53;-53;-54;-54;-55;-56
-55;-54;-55;-55;-56;-57;-59;-61;-62;-60;-57;-55;-54;-53;-53;-53;-54;-54;-55;-55;-56;-56;-56;-57;-57;-54
-55;-54;-54;-54;-54;-55;-56;-58;-60;-61;-63;-61;-59;-59;-58;-59;-60;-60;-61;-62;-63;-62;-62;-62;-62;-62
-55;-54;-54;-54;-54;-54;-55;-56;-57;-58;-60;-62;-64;-65;-67;-67;-67;-68;-67;-67;-67;-68;-68;-67;-67;-66
