-42;-41;-39;-38;-37;-36;-35;-34;-33;-32;-31;-30;-29;-29;-30;-30;-31;-32;-33;-34;-36;-37;-39;-41;-42;-44
-42;-40;-39;-37;-36;-34;-33;-32;-31;-30;-29;-28;-28;-27;-28;-28;-29;-30;-32;-33;-35;-36;-38;-40;-42;-44
-42;-40;-38;-36;-35;-33;-32;-31;-30;-29;-28;-27;-26;-26;-27;-27;-28;-29;-31;-32;-34;-36;-37;-39;-41;-43
-42;-40;-38;-36;-35;-33;-32;-30;-29;-28;-27;-26;-26;-26;-26;-27;-28;-29;-30;-32;-33;-35;-37;-39;-41;-43
-42;-40;-38;-36;-35;-33;-32;-30;-29;-28;-27;-26;-26;-26;-26;-27;-28;-29;-31;-32;-34;-35;-37;-39;-41;-44
-43;-41;-39;-37;-35;-34;-32;-31;-30;-29;-28;-27;-27;-26;-27;-27;-28;-29;-31;-32;-34;-36;-37;-39;-42;-44
-44;-42;-40;-38;-36;-35;-33;-32;-31;-29;-29;-28;-28;-28;-28;-29;-29;-31;-32;-33;-35;-37;-39;-41;-43;-45
-46;-43;-41;-39;-38;-36;-34;-33;-32;-31;-30;-30;-29;-29;-29;-30;-31;-32;-33;-34;-36;-37;-39;-41;-43;-46
-47;-45;-43;-41;-39;-37;-39;-36;-33;-32;-31;-31;-31;-31;-31;-32;-32;-33;-34;-36;-37;-39;-41;-43;-45;-48
-49;-47;-45;-43;-41;-39;-38;-36;-35;-34;-33;-33;-33;-32;-33;-33;-34;-35;-36;-37;-39;-41;-43;-45;-47;-50
-53;-50;-48;-45;-43;-42;-40;-39;-37;-36;-35;-35;-35;-34;-35;-35;-36;-37;-39;-40;-42;-44;-46;-48;-50;-53
-59;-56;-52;-50;-47;-45;-44;-42;-41;-39;-38;-38;-37;-37;-37;-38;-39;-40;-41;-43;-45;-47;-49;-51;-54;-58
-65;-69;-62;-58;-54;-51;-49;-47;-45;-43;-42;-41;-40;-40;-41;-42;-43;-45;-47;-49;-51;-54;-57;-61;-64;-67
-56;-56;-57;-58;-60;-63;-71;-62;-56;-52;-49;-47;-46;-46;-47;-48;-50;-52;-55;-58;-63;-68;-64;-62;-61;-59
-52;-51;-51;-50;-50;-50;-50;-50;-51;-53;-57;-66;-68;-68;-67;-60;-55;-54;-52;-51;-51;-51;-52;-52;-53;-54
-49;-48;-47;-46;-45;-44;-44;-44;-43;-43;-43;-44;-44;-45;-45;-44;-44;-44;-45;-45;-46;-47;-48;-49;-50;-51
-47;-45;-44;-43;-42;-41;-40;-40;-39;-39;-39;-39;-39;-39;-39;-39;-39;-40;-40;-41;-42;-43;-44;-46;-47;-49
-45;-44;-44;-41;-41;-39;-38;-37;-36;-35;-35;-35;-35;-35;-35;-35;-36;-37;-38;-39;-40;-41;-43;-44;-46;-48
-44;-43;-41;-40;-38;-37;-36;-35;-34;-33;-32;-32;-32;-32;-32;-33;-34;-34;-36;-37;-38;-40;-41;-43;-45;-47
-43;-42;-40;-39;-37;-36;-35;-33;-33;-31;-31;-30;-30;-30;-30;-31;-32;-33;-34;-36;-37;-39;-40;-42;-44;-46
-42;-41;-40;-38;-36;-35;-34;-32;-31;-30;-29;-29;-28;-28;-29;-30;-31;-32;-33;-35;-36;-38;-40;-42;-44;-46
-42;-41;-39;-38;-37;-35;-34;-33;-31;-30;-29;-29;-28;-28;-29;-30;-30;-31;-33;-34;-36;-38;-39;-41;-43;-46
-42;-41;-39;-39;-36;-35;-33;-32;-31;-30;-29;-28;-28;-28;-28;-29;-30;-31;-33;-34;-36;-38;-39;-41;-43;-45
-42;-41;-39;-38;-36;-37;-34;-34;-34;-32;-32;-29;-29;-29;-29;-30;-31;-32;-33;-35;-36;-38;-39;-41;-43;-45
-43;-42;-41;-39;-38;-36;-35;-34;-32;-32;-31;-30;-30;-30;-30;-31;-32;-33;-34;-35;-37;-38;-40;-42;-43;-45
-43;-42;-41;-39;-38;-37;-36;-35;-35;-34;-32;-32;-33;-33;-32;-33;-34;-34;-35;-36;-38;-39;-41;-42;-44;-46
