-45;-43;-41;-39;-37;-36;-34;-33;-32;-31;-30;-29;-29;-29;-29;-29;-30;-31;-32;-33;-35;-37;-39;-42;-45;-48
-44;-42;-40;-38;-36;-34;-33;-31;-30;-29;-28;-27;-27;-27;-28;-28;-29;-30;-31;-32;-33;-35;-38;-41;-44;-47
-43;-41;-39;-37;-35;-33;-32;-30;-29;-28;-27;-26;-25;-25;-26;-27;-28;-29;-30;-31;-33;-35;-38;-40;-43;-46
-43;-41;-39;-37;-35;-33;-31;-30;-28;-27;-26;-25;-25;-25;-25;-26;-27;-28;-30;-31;-33;-35;-37;-40;-43;-46
-43;-41;-39;-36;-35;-33;-31;-30;-28;-27;-26;-25;-25;-25;-26;-26;-28;-29;-30;-31;-33;-35;-38;-40;-43;-46
-44;-41;-39;-37;-35;-33;-32;-30;-29;-28;-27;-26;-26;-26;-26;-27;-28;-29;-30;-32;-33;-36;-38;-41;-43;-46
-44;-42;-39;-37;-35;-34;-32;-31;-29;-28;-28;-27;-27;-27;-28;-28;-29;-31;-32;-33;-35;-37;-40;-42;-45;-48
-45;-43;-40;-38;-36;-35;-33;-32;-31;-30;-29;-29;-28;-29;-29;-30;-31;-32;-33;-34;-36;-38;-41;-39;-46;-50
-46;-44;-41;-39;-37;-36;-34;-33;-32;-31;-30;-30;-30;-30;-31;-32;-33;-34;-35;-36;-38;-41;-44;-47;-50;-53
-47;-45;-43;-41;-39;-37;-36;-35;-33;-33;-32;-32;-32;-32;-33;-33;-34;-35;-37;-38;-40;-43;-46;-49;-52;-56
-49;-47;-44;-42;-40;-39;-37;-36;-35;-34;-34;-33;-33;-34;-35;-36;-37;-38;-40;-42;-44;-47;-51;-56;-59;-61
-52;-49;-47;-45;-43;-41;-40;-38;-37;-37;-36;-36;-36;-37;-38;-39;-40;-41;-43;-45;-48;-52;-57;-60;-59;-58
-56;-52;-49;-47;-45;-43;-42;-41;-40;-39;-38;-38;-39;-39;-41;-43;-45;-47;-50;-55;-60;-61;-55;-53;-39;-53
-62;-58;-55;-52;-50;-48;-47;-46;-44;-44;-43;-43;-44;-45;-48;-52;-57;-64;-63;-57;-54;-51;-50;-49;-49;-50
-61;-64;-64;-61;-58;-56;-55;-54;-53;-52;-52;-53;-55;-67;-54;-49;-47;-46;-46;-46;-45;-45;-45;-45;-46;-48
-54;-54;-54;-54;-54;-53;-51;-50;-50;-49;-48;-47;-45;-44;-42;-41;-41;-41;-41;-42;-42;-42;-43;-43;-44;-46
-50;-49;-49;-48;-47;-45;-44;-43;-42;-41;-40;-39;-38;-37;-36;-36;-36;-37;-37;-38;-38;-39;-40;-41;-43;-45
-47;-46;-45;-43;-42;-41;-39;-38;-36;-36;-35;-34;-34;-33;-33;-33;-33;-34;-34;-35;-36;-37;-38;-40;-41;-43
-45;-43;-42;-40;-38;-37;-35;-34;-33;-32;-31;-30;-30;-30;-30;-30;-30;-31;-32;-33;-34;-35;-36;-38;-40;-42
-43;-41;-39;-37;-36;-34;-33;-32;-31;-30;-29;-28;-27;-27;-27;-28;-28;-29;-30;-31;-32;-33;-35;-37;-39;-41
-41;-39;-37;-35;-33;-32;-31;-29;-28;-27;-27;-26;-26;-25;-26;-26;-27;-27;-28;-29;-31;-32;-34;-36;-39;-41
-41;-38;-36;-34;-33;-31;-30;-29;-28;-27;-26;-26;-26;-25;-25;-26;-27;-27;-28;-29;-30;-32;-34;-36;-38;-41
-41;-39;-37;-35;-34;-32;-31;-30;-29;-28;-27;-26;-26;-26;-26;-27;-27;-28;-29;-30;-31;-33;-35;-37;-39;-42
-42;-40;-38;-37;-35;-34;-33;-31;-30;-29;-29;-28;-28;-28;-28;-28;-29;-30;-31;-32;-33;-34;-36;-38;-40;-42
-43;-42;-40;-39;-37;-36;-34;-33;-32;-31;-30;-30;-30;-29;-30;-30;-31;-32;-33;-34;-35;-36;-38;-39;-41;-43
-44;-43;-42;-40;-39;-38;-36;-35;-34;-33;-34;-32;-32;-32;-32;-33;-33;-34;-34;-35;-37;-38;-39;-41;-42;-44
